STATE NAME,TOTAL CONFIRMED,CURED/DISCHARGED/MIGRATED,DEATH
AndhraPradesh,226,1,3
AndamanNicobar,10,0,0
Bihar,32,0,1
Chandigarh,18,7,0
Chhattisgarh,10,9,0
Delhi,576,21,7
Goa,7,0,0
Gujarat,165,25,13
Haryana,90,25,1
HimachalPradesh,13,2,1
J & K,116,4,2
Karnataka,175,25,4
Kerala,327,58,2
Ladakh,14,10,0
MP,229,0,13
Maharashtra,868,56,48
Manipur,2,0,0
Mizoram,1,0,0
Odisha,42,2,1
Puducherry,5,1,0
Punjab,91,4,7
Rajasthan,228,21,3
TamilNadu,621,8,5
Telengana,364,35,7
Uttarakhand,31,5,0
UttarPradesh,305,21,3
West Bengal,91,13,3
Assam,26,0,0
Jharkhand,4,0,0
Arunachal Pradesh,1,0,0
Tripura,1,0,0
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
